config,alpha,auc_l1,auc_llr
Timestamp,0.01,0.8610050223214152,0.9939236111111132
Timestamp,0.012067926406393288,0.8610023251487966,0.9939236111111132
Timestamp,0.014563484775012436,0.8610592447916544,0.9939236111111132
Timestamp,0.017575106248547922,0.8610610739087187,0.9939236111111132
Timestamp,0.021209508879201904,0.8610452628968149,0.9939236111111132
Timestamp,0.025595479226995357,0.8610006820436409,0.9939236111111132
Timestamp,0.030888435964774818,0.8609938306051504,0.9939236111111132
Timestamp,0.0372759372031494,0.8610269407241982,0.9939240451388909
Timestamp,0.04498432668969444,0.8608948102678502,0.9939249131944464
Timestamp,0.054286754393238594,0.8609592323908672,0.9939331597222242
Timestamp,0.0655128556859551,0.860892578124995,0.993948784722224
Timestamp,0.07906043210907697,0.8609212859622979,0.993977864583335
Timestamp,0.09540954763499938,0.8609924665178537,0.9940039062500017
Timestamp,0.1151395399326447,0.8608119729662675,0.9940698784722237
Timestamp,0.13894954943731375,0.8607696242559503,0.9941137152777794
Timestamp,0.16768329368110074,0.8605777839781729,0.9941475694444462
Timestamp,0.20235896477251566,0.8603090897817437,0.994207031250002
Timestamp,0.2442053094548651,0.8600381634424576,0.9942105034722244
Timestamp,0.29470517025518095,0.8597610677083304,0.9942556423611135
Timestamp,0.35564803062231287,0.8598526785714261,0.9942317708333359
Timestamp,0.42919342601287763,0.8601302703372989,0.9941757812500027
Timestamp,0.517947467923121,0.860735026041664,0.9940463169642879
Timestamp,0.6250551925273969,0.8617295696924577,0.9937106894841289
Timestamp,0.7543120063354615,0.8630345982142831,0.9931698908730183
Timestamp,0.9102981779915218,0.8643218936011876,0.9920232824900811
Timestamp,1.0985411419875584,0.865543898809521,0.9892452566964299
Timestamp,1.325711365590108,0.8654929005456329,0.98283931671627
Timestamp,1.5998587196060574,0.8645894097222201,0.9688367745535706
Timestamp,1.9306977288832496,0.8618169022817439,0.941760385664682
Timestamp,2.329951810515372,0.8574744543650776,0.8998695746527771
Timestamp,2.811768697974228,0.8506670076884899,0.8442835131448412
Timestamp,3.3932217718953264,0.8409773375496014,0.7819085131448412
Timestamp,4.094915062380423,0.8292078062996021,0.721125341021825
Timestamp,4.941713361323833,0.8137249503968248,0.6680728546626985
Timestamp,5.963623316594643,0.796090277777777,0.627886997767857
Timestamp,7.196856730011514,0.7738015873015869,0.591497705853174
Timestamp,8.68511373751352,0.7502969370039678,0.5682823350694438
Timestamp,10.481131341546853,0.7254247271825403,0.5467276165674599
Timestamp,12.648552168552959,0.7010009300595232,0.5342743675595234
Timestamp,15.264179671752318,0.6775119977678573,0.5234049789186503
Timestamp,18.420699693267146,0.6519764384920628,0.5158021763392854
Timestamp,22.229964825261934,0.6326613033234127,0.5083301711309525
Timestamp,26.826957952797247,0.6103648003472217,0.5070271267361115
Timestamp,32.374575428176435,0.5948893229166663,0.5044931795634922
Timestamp,39.06939937054613,0.5807584945436505,0.5023694506448415
Timestamp,47.1486636345739,0.5668284350198409,0.5033159722222219
Timestamp,56.89866029018293,0.55574857390873,0.5019424913194441
Timestamp,68.66488450042998,0.5476119481646823,0.5026525607638889
Timestamp,82.86427728546842,0.538281839037698,0.5016670696924606
Timestamp,100.0,0.5321789124503965,0.4987233072916665
FitBit,0.01,0.7067064525462952,0.7765202546296261
FitBit,0.012067926406393288,0.707271412037037,0.7763284143518492
FitBit,0.014563484775012436,0.7079600694444448,0.7761203703703681
FitBit,0.017575106248547922,0.708642650462964,0.7759890046296272
FitBit,0.021209508879201904,0.7087160011574086,0.7757971643518498
FitBit,0.025595479226995357,0.7090512152777788,0.7755917245370352
FitBit,0.030888435964774818,0.7093117766203727,0.7756863425925911
FitBit,0.0372759372031494,0.7093418692129648,0.7755734953703689
FitBit,0.04498432668969444,0.7093103298611134,0.7755376157407402
FitBit,0.054286754393238594,0.7091639178240758,0.7755593171296289
FitBit,0.0655128556859551,0.7090613425925933,0.7757057291666665
FitBit,0.07906043210907697,0.7105422453703717,0.7755954861111103
FitBit,0.09540954763499938,0.7113318865740741,0.7753744212962957
FitBit,0.1151395399326447,0.7120298032407414,0.7749670138888889
FitBit,0.13894954943731375,0.7139111689814817,0.7746105324074071
FitBit,0.16768329368110074,0.7140141782407414,0.773929398148148
FitBit,0.20235896477251566,0.7135797164351853,0.7733255208333331
FitBit,0.2442053094548651,0.7114425636574074,0.7721229745370367
FitBit,0.29470517025518095,0.7089147858796292,0.7694554398148147
FitBit,0.35564803062231287,0.706838831018519,0.7659568865740739
FitBit,0.42919342601287763,0.70292042824074,0.7604661458333328
FitBit,0.517947467923121,0.6985099826388887,0.7529574652777777
FitBit,0.6250551925273969,0.6923765914351844,0.7425526620370372
FitBit,0.7543120063354615,0.6853410011574078,0.7304021990740742
FitBit,0.9102981779915218,0.6745567129629627,0.7134945023148148
FitBit,1.0985411419875584,0.6624638310185182,0.6916736111111109
FitBit,1.325711365590108,0.6492426215277776,0.6679945023148147
FitBit,1.5998587196060574,0.6330251736111115,0.6427190393518518
FitBit,1.9306977288832496,0.6181530671296298,0.6153087384259259
FitBit,2.329951810515372,0.6037361111111111,0.591972222222222
FitBit,2.811768697974228,0.5890169270833333,0.5714146412037036
FitBit,3.3932217718953264,0.5760690104166667,0.5545497685185186
