****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 350695 ******* 

Variable    Labels
ER66336    ACCURACY OF DAYS OTRS SICK (RP)         
ER66337    BC10 WEEKS OTHERS SICK                  
ER66338    ACCURACY OF WEEKS OTRS SICK (RP)        
ER66339    BC10 MONTHS OTHERS SICK                 
ER66340    ACCURACY OF MONTHS OTRS SICK (RP)       
ER66341    BC11 WTR SELF ILL (RP)                  
ER66342    BC11 DAYS SELF SICK                     
ER66343    ACCURACY OF DAYS SELF ILL (RP)          
ER66344    BC11 WEEKS SELF SICK                    
ER66345    ACCURACY OF WEEKS SELF ILL (RP)         
ER66346    BC11 MONTHS SELF SICK                   
ER66347    ACCURACY OF MONTHS SELF ILL (RP)        
ER66348    BC12 WTR VACATION (RP)                  
ER66349    BC12 DAYS VACATION                      
ER66350    ACCURACY OF DAYS VACATION (RP)          
ER66351    BC12 WEEKS VACATION                     
ER66352    ACCURACY OF WEEKS VACATION (RP)         
ER66353    BC12 MONTHS VACATION                    
ER66354    ACCURACY OF MONTHS VACATION (RP)        
ER66355    BC13 WTR STRIKE (RP)                    
ER66356    BC13 DAYS STRIKE                        
ER66357    ACCURACY OF STRIKE DAYS (RP)            
ER66358    BC13 WEEKS STRIKE                       
ER66359    ACCURACY OF STRIKE WEEKS (RP)           
ER66360    BC13 MONTHS STRIKE                      
ER66361    ACCURACY OF STRIKE MONTHS (RP)          
ER66362    BC14 WTR LAID OFF (RP)                  
ER66363    BC14 DAYS LAID OFF                      
ER66364    ACCURACY OF DAYS LAID OFF (RP)          
ER66365    BC14 WEEKS LAID OFF                     
ER66366    ACCURACY OF WEEKS LAID OFF (RP)         
ER66367    BC14 MONTHS LAID OFF                    
ER66368    ACCURACY OF MONTHS LAID OFF (RP)        
ER66369    BC8 WTR UNEMPLOYED(RP)                  
ER66370    BC8 DAYS UNEMPLOYED                     
ER66371    ACCURACY OF DAYS UNEMPLOYED (RP)        
ER66372    BC8 WEEKS UNEMPLOYED                    
ER66373    ACCURACY OF WEEKS UNEMPLOYED (RP)       
ER66374    BC8 MONTHS UNEMPLOYED                   
ER66375    ACCURACY OF MONTHS UNEMPLOYED (RP)      
ER66376    BC8 WTR UNEMPLOYED JAN                  
ER66377    BC8 WTR UNEMPLOYED FEB                  
ER66378    BC8 WTR UNEMPLOYED MAR                  
ER66379    BC8 WTR UNEMPLOYED APR                  
ER66380    BC8 WTR UNEMPLOYED MAY                  
ER66381    BC8 WTR UNEMPLOYED JUN                  
ER66382    BC8 WTR UNEMPLOYED JUL                  
ER66383    BC8 WTR UNEMPLOYED AUG                  
ER66384    BC8 WTR UNEMPLOYED SEP                  
